"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
96 0.00927638542856469 1 132 "GO:0005198" "structural molecule activity" 0.101196931947978
-18 0.839411544470406 2 22 "GO:0005200" "structural constituent of cytoskeleton" 0.977978280351143
193 0.0249987079692618 2 22 "GO:0005506" "iron ion binding" 0.15102412525045
-6 0.894255247945402 5 94 "GO:0005509" "calcium ion binding" 0.977978280351143
-2 0.970278179897248 2 58 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "purine nucleoside binding" 0.977978280351143
141 0.175855110604162 2 15 "GO:0005539" "glycosaminoglycan binding" 0.514697884695108
-192 0.0139663566848276 2 27 "GO:0005543" "phospholipid binding" 0.114010841048134
-172 0.0568185041198904 2 20 "GO:0008017" "microtubule binding" 0.252526684977291
-4 0.963061979535008 2 22 "GO:0008047" "enzyme activator activity" 0.977978280351143
-75 0.0663792841803078 3 104 "GO:0008092" "cytoskeletal protein binding" 0.283145337429511
-9 0.863161105129029 3 59 "GO:0008134" "transcription factor binding" 0.977978280351143
139 0.115912743677045 2 21 "GO:0008234" "cysteine-type peptidase activity" 0.39741512117844
183 0.0341058762225765 5 22 "GO:0008236;GO:0017171;GO:0016825;GO:0004252" "serine-type peptidase activity" 0.191201127582683
76 0.401386664259881 4 20 "GO:0008237" "metallopeptidase activity" 0.845024556336592
12 0.906595219996589 5 17 "GO:0008238" "exopeptidase activity" 0.977978280351143
15 0.728283057527172 3 91 "GO:0008270" "zinc ion binding" 0.92400868452039
-19 0.745512275972028 2 50 "GO:0008289" "lipid binding" 0.931890344965035
6 0.901976546973973 3 62 "GO:0008324;GO:0015075;GO:0015318" "ion transmembrane transporter activity" 0.977978280351143
77 0.444160631224177 3 16 "GO:0009055" "electron transfer activity" 0.859364873758239
-9 0.907800505877203 2 28 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 0.977978280351143
-8 0.931210245631862 2 19 "GO:0015078" "proton transmembrane transporter activity" 0.977978280351143
-45 0.522498511140814 2 33 "GO:0015631" "tubulin binding" 0.869718415997032
228 0.0199207240561245 1 17 "GO:0016209" "antioxidant activity" 0.14488776271671
293 0.002097657948978 4 18 "GO:0016298" "lipase activity" 0.04195315897956
-31 0.606074084582294 4 46 "GO:0016301" "kinase activity" 0.90805379719083
101 0.0059924781840457 2 133 "GO:0016491" "oxidoreductase activity" 0.0798997091206093
-60 0.453595133144956 4 26 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 0.859364873758239
65 0.459591784219576 3 21 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.859364873758239
90 0.374895634390259 2 16 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 0.830826529013465
171 0.100039704138697 2 15 "GO:0016741" "transferase activity, transferring one-carbon groups" 0.381940810366984
168 0.0350535400568253 4 26 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 0.191201127582683
-10 0.911562446806224 2 19 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.977978280351143
-9 0.855341806590685 2 68 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.977978280351143
-83 0.21513866103973 2 37 "GO:0016773;GO:0004672" "phosphotransferase activity, alcohol group as acceptor" 0.600386961041107
36 0.685611084233195 2 21 "GO:0016779" "nucleotidyltransferase activity" 0.914148112310927
83 0.101850882764529 2 65 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.381940810366984
36 0.635454288906219 2 29 "GO:0016829" "lyase activity" 0.90805379719083
123 0.210876268614323 3 17 "GO:0016835" "carbon-oxygen lyase activity" 0.600386961041107
-133 0.0561307916953396 2 34 "GO:0016853" "isomerase activity" 0.252526684977291
-4 0.972140352048489 2 15 "GO:0016859" "cis-trans isomerase activity" 0.977978280351143
-9 0.913516854156513 2 25 "GO:0016874" "ligase activity" 0.977978280351143
-202 0.0000664484023532183 4 66 "GO:0016887" "ATPase activity" 0.0079738082823862
-135 0.000848444214596032 3 106 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.0203626611503048
196 0.0105672839627231 3 28 "GO:0019843" "rRNA binding" 0.105672839627231
-33 0.579663659140269 2 48 "GO:0019901;GO:0019900" "kinase binding" 0.895397578193601
-52 0.392692863686286 3 45 "GO:0019904" "protein domain specific binding" 0.841484707899184
-22 0.808251612755063 3 20 "GO:0020037;GO:0046906" "tetrapyrrole binding" 0.977978280351143
-63 0.434009720748302 3 25 "GO:0022804" "active transmembrane transporter activity" 0.859364873758239
-73 0.446328887789815 2 18 "GO:0022853" "active ion transmembrane transporter activity" 0.859364873758239
19 0.662900943955556 2 89 "GO:0022857;GO:0005215" "transporter activity" 0.90805379719083
-22 0.717918193022813 4 44 "GO:0022890" "inorganic cation transmembrane transporter activity" 0.92400868452039
8 0.881482941675927 2 66 "GO:0030234" "enzyme regulator activity" 0.977978280351143
46 0.547559860544245 2 28 "GO:0030246" "carbohydrate binding" 0.887934908990668
-95 0.280764988341192 2 21 "GO:0030545;GO:0030546;GO:0048018" "receptor regulator activity" 0.733271511857402
30 0.76207373857746 3 17 "GO:0031072" "heat shock protein binding" 0.942771635353559
-34 0.716078723965256 2 19 "GO:0031267" "small GTPase binding" 0.92400868452039
-186 0.00542063973322226 5 37 "GO:0031625;GO:0044389" "ubiquitin-like protein ligase binding" 0.0798997091206093
56 0.465489306619046 2 28 "GO:0033218" "amide binding" 0.859364873758239
-161 0.111367613470831 3 16 "GO:0035091" "phosphatidylinositol binding" 0.39741512117844
-62 0.364765664635893 2 35 "GO:0038023;GO:0060089" "molecular transducer activity" 0.825884523703909
-31 0.731506875245309 3 20 "GO:0042277" "peptide binding" 0.92400868452039
-63 0.434305186411574 3 25 "GO:0042393" "histone binding" 0.859364873758239
-105 0.298542814906612 4 16 "GO:0042578" "phosphoric ester hydrolase activity" 0.733271511857402
-209 0.000678501824137294 5 44 "GO:0042623" "ATPase activity, coupled" 0.0203626611503048
-43 0.662909565239859 2 17 "GO:0042626;GO:0015399" "primary active transmembrane transporter activity" 0.90805379719083
-52 0.155972858984641 3 134 "GO:0042802" "identical protein binding" 0.473084904535026
-4 0.940102189734003 2 57 "GO:0042803" "protein homodimerization activity" 0.977978280351143
-29 0.722609752430245 3 25 "GO:0043021" "ribonucleoprotein complex binding" 0.92400868452039
-91 0.0383426463046653 3 90 "GO:0043565;GO:0003690;GO:1990837" "sequence-specific DNA binding" 0.197277147679428
-57 0.119525100598026 2 135 "GO:0044877" "protein-containing complex binding" 0.39841700199342
-100 0.157694968178342 1 33 "GO:0045182" "translation regulator activity" 0.473084904535026
-18 0.822565537693829 2 25 "GO:0046873" "metal ion transmembrane transporter activity" 0.977978280351143
33 0.380795492464505 2 128 "GO:0046914" "transition metal ion binding" 0.830826529013465
-147 0.0237268319021134 2 39 "GO:0046982" "protein heterodimerization activity" 0.15102412525045
-78 0.0684267898787984 3 94 "GO:0046983" "protein dimerization activity" 0.283145337429511
22 0.640500801763439 2 75 "GO:0048037" "cofactor binding" 0.90805379719083
27 0.673473232916532 3 42 "GO:0050662" "coenzyme binding" 0.90805379719083
-66 0.416207108038415 3 25 "GO:0050839" "cell adhesion molecule binding" 0.859364873758239
-156 0.0251706875417416 2 34 "GO:0051015" "actin filament binding" 0.15102412525045
-73 0.327704794578532 2 30 "GO:0051020" "GTPase binding" 0.786491506988477
-62 0.474929228447623 3 22 "GO:0051082" "unfolded protein binding" 0.859394312151831
216 0.00567382321907685 4 27 "GO:0052689" "carboxylic ester hydrolase activity" 0.0798997091206093
-25 0.778277012683053 2 21 "GO:0060090" "molecular adaptor activity" 0.952992260428228
42 0.666884279603 3 17 "GO:0061134" "peptidase regulator activity" 0.90805379719083
-125 0.146133752276178 5 22 "GO:0061629" "RNA polymerase II-specific DNA-binding transcription factor binding" 0.473084904535026
16 0.842035325581587 2 24 "GO:0061659;GO:0061630" "ubiquitin-like protein ligase activity" 0.977978280351143
110 0.0142513551310168 3 86 "GO:0070011;GO:0008233" "peptidase activity" 0.114010841048134
-59 0.486990110219371 3 23 "GO:0090079;GO:0008135" "translation regulator activity, nucleic acid binding" 0.859394312151831
-28 0.517062622875597 1 96 "GO:0098772" "molecular function regulator" 0.869718415997032
-3 0.969497461925935 2 23 "GO:0140030" "modification-dependent protein binding" 0.977978280351143
35 0.653907280078455 2 27 "GO:0140097" "catalytic activity, acting on DNA" 0.90805379719083
-75 0.253163667036991 2 39 "GO:0140098" "catalytic activity, acting on RNA" 0.690446364646339
-22 0.589470072310787 1 105 "GO:0140110" "transcription regulator activity" 0.895397578193601
-46 0.514254550338172 2 33 "GO:0140297" "DNA-binding transcription factor binding" 0.869718415997032
215 0.0128377480634353 2 22 "GO:1901681" "sulfur compound binding" 0.114010841048134
